"job_title","salary_in_usd"
"Data Analyst",63831
"Data Analyst",71786
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",62000
"Data Architect",280100
"Data Architect",168100
"Data Architect",180000
"Data Architect",115000
"Data Architect",200000
"Data Architect",115000
"Data Architect",250500
"Data Architect",159500
"Data Architect",180000
"Data Architect",155000
"Data Architect",167500
"Data Architect",106500
"Data Architect",170000
"Data Architect",125000
"Data Architect",167500
"Data Architect",106500
"Data Architect",149040
"Data Architect",113900
"Data Architect",376080
"Data Architect",213120
"Data Architect",138000
"Data Architect",92000
"Data Architect",149040
"Data Architect",113900
"Data Architect",188500
"Data Architect",117000
"Data Architect",168400
"Data Architect",105200
"Data Architect",228000
"Data Architect",120000
"Data Architect",198000
"Data Architect",114000
"Data Architect",180000
"Data Architect",160000
"Data Architect",180000
"Data Architect",115000
"Data Architect",200000
"Data Architect",115000
"Data Architect",174500
"Data Architect",113000
"Data Architect",174500
"Data Architect",113000
"Data Architect",174500
"Data Architect",113000
"Data Architect",180000
"Data Architect",115000
"Data Architect",174500
"Data Architect",113000
"Data Architect",174500
"Data Architect",113000
"Data Architect",170000
"Data Architect",110000
"Data Architect",190000
"Data Architect",135000
"Data Architect",149040
"Data Architect",113900
"Data Architect",190000
"Data Architect",135000
"Data Architect",235000
"Data Architect",175000
"Data Architect",192564
"Data Architect",144854
"Data Architect",210000
"Data Architect",136000
"Data Architect",128000
"Data Architect",81500
"Data Architect",345600
"Data Architect",230400
"Data Architect",225000
"Data Architect",66000
"Data Architect",180000
"Data Architect",160000
"Data Architect",190000
"Data Architect",135000
"Data Architect",195400
"Data Architect",131300
"Data Architect",195400
"Data Architect",131300
"Data Architect",190000
"Data Architect",135000
"Data Architect",190000
"Data Architect",135000
"Data Architect",149040
"Data Architect",113900
"Data Architect",141300
"Data Architect",102100
"Data Architect",250000
"Data Architect",63000
"Data Architect",250000
"Data Architect",63000
"Data Architect",208775
"Data Architect",147800
"Data Architect",192400
"Data Architect",90700
"Data Architect",266400
"Data Architect",213120
"Data Architect",192564
"Data Architect",144854
"Data Architect",170000
"Data Architect",150000
"Data Architect",180000
"Data Engineer",253200
"Data Engineer",90700
"Data Engineer",162500
"Data Engineer",130000
"Data Engineer",270703
"Data Engineer",221484
"Data Engineer",203300
"Data Engineer",123600
"Data Engineer",231500
"Data Engineer",166000
"Data Engineer",238000
"Data Engineer",176000
"Data Engineer",237000
"Data Engineer",201450
"Data Engineer",115000
"Data Engineer",81500
"Data Engineer",193500
"Data Engineer",139000
"Data Engineer",225000
"Data Engineer",175000
"Data Engineer",185000
"Data Engineer",140000
"Data Engineer",217000
"Data Engineer",185000
"Data Engineer",165000
"Data Engineer",132300
"Data Engineer",179170
"Data Engineer",94300
"Data Engineer",247300
"Data Engineer",133800
"Data Engineer",185900
"Data Engineer",129300
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",161800
"Data Engineer",141600
"Data Engineer",100000
"Data Engineer",70000
"Data Engineer",85000
"Data Engineer",65000
"Data Engineer",95000
"Data Engineer",75000
"Data Engineer",100000
"Data Engineer",70000
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",162500
"Data Engineer",130000
"Data Engineer",145000
"Data Engineer",120000
"Data Engineer",241000
"Data Engineer",155000
"Data Engineer",220000
"Data Engineer",190000
"Data Engineer",160000
"Data Engineer",140000
"Data Engineer",220000
"Data Engineer",205000
"Data Engineer",180000
"Data Engineer",130000
"Data Engineer",200000
"Data Engineer",150000
"Data Engineer",17022
"Data Engineer",128000
"Data Engineer",81500
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",185000
"Data Engineer",140000
"Data Engineer",145000
"Data Engineer",100000
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",85000
"Data Engineer",65000
"Data Engineer",220000
"Data Engineer",160000
"Data Engineer",240500
"Data Engineer",123700
"Data Engineer",175000
"Data Engineer",110000
"Data Engineer",219535
"Data Engineer",146115
"Data Engineer",179000
"Data Engineer",109000
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",85000
"Data Engineer",65000
"Data Engineer",222000
"Data Engineer",175000
"Data Engineer",221000
"Data Engineer",147000
"Data Engineer",150000
"Data Engineer",130000
"Data Engineer",240000
"Data Engineer",183600
"Data Engineer",250000
"Data Engineer",150000
"Data Engineer",145000
"Data Engineer",120000
"Data Engineer",200000
"Data Engineer",160000
"Data Engineer",85000
"Data Engineer",65000
"Data Engineer",125000
"Data Engineer",90000
"Data Engineer",146000
"Data Engineer",75000
"Data Engineer",203100
"Data Engineer",114500
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",92700
"Data Engineer",61800
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",146000
"Data Engineer",75000
"Data Engineer",59888
"Data Engineer",286000
"Data Engineer",207000
"Data Engineer",223250
"Data Engineer",178600
"Data Engineer",128000
"Data Engineer",81500
"Data Engineer",171250
"Data Engineer",113750
"Data Engineer",165000
"Data Engineer",132300
"Data Engineer",230000
"Data Engineer",124500
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",180000
"Data Engineer",165000
"Data Engineer",145000
"Data Engineer",120000
"Data Engineer",143865
"Data Engineer",115092
"Data Engineer",167500
"Data Engineer",106500
"Data Engineer",149600
"Data Engineer",102000
"Data Engineer",151000
"Data Engineer",140000
"Data Engineer",160000
"Data Engineer",145000
"Data Engineer",150000
"Data Engineer",111000
"Data Engineer",265000
"Data Engineer",235000
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",75000
"Data Engineer",60400
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",92700
"Data Engineer",61800
"Data Engineer",62000
"Data Engineer",58000
"Data Engineer",125000
"Data Engineer",90000
"Data Engineer",163800
"Data Engineer",126000
"Data Engineer",90000
"Data Engineer",90000
"Data Engineer",139500
"Data Engineer",109400
"Data Engineer",145000
"Data Engineer",120000
"Data Engineer",205600
"Data Engineer",105700
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",165000
"Data Engineer",132300
"Data Engineer",153600
"Data Engineer",106800
"Data Engineer",172600
"Data Engineer",107900
"Data Engineer",260000
"Data Engineer",225000
"Data Engineer",194500
"Data Engineer",115500
"Data Engineer",275000
"Data Engineer",160000
"Data Engineer",162500
"Data Engineer",130000
"Data Engineer",147100
"Data Engineer",90700
"Data Engineer",115100
"Data Engineer",73900
"Data Engineer",168400
"Data Engineer",105200
"Data Engineer",85066
"Data Engineer",57723
"Data Engineer",140000
"Data Engineer",95000
"Data Engineer",139500
"Data Engineer",109400
"Data Engineer",210914
"Data Engineer",116704
"Data Engineer",146000
"Data Engineer",75000
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",276000
"Data Engineer",178500
"Data Engineer",136956
"Data Engineer",101228
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",163800
"Data Engineer",126000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",167500
"Data Engineer",106500
"Data Engineer",140000
"Data Engineer",120000
"Data Engineer",153600
"Data Engineer",106800
"Data Engineer",125000
"Data Engineer",90000
"Data Engineer",72000
"Data Engineer",60000
"Data Engineer",260000
"Data Engineer",175000
"Data Engineer",250000
"Data Engineer",175000
"Data Engineer",310000
"Data Engineer",239000
"Data Engineer",146000
"Data Engineer",75000
"Data Engineer",139500
"Data Engineer",109400
"Data Engineer",149600
"Data Engineer",102000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",145000
"Data Engineer",125000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",121500
"Data Engineer",78000
"Data Engineer",154000
"Data Engineer",116000
"Data Engineer",170000
"Data Engineer",140000
"Data Engineer",154000
"Data Engineer",116000
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",200000
"Data Engineer",120000
"Data Engineer",127599
"Data Engineer",103294
"Data Engineer",153600
"Data Engineer",106800
"Data Engineer",167500
"Data Engineer",106500
"Data Engineer",163800
"Data Engineer",126000
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",185900
"Data Engineer",129300
"Data Engineer",310000
"Data Engineer",239000
"Data Engineer",140000
"Data Engineer",100000
"Data Engineer",139500
"Data Engineer",109400
"Data Engineer",80000
"Data Engineer",65000
"Data Engineer",124740
"Data Engineer",65488
"Data Engineer",153600
"Data Engineer",106800
"Data Engineer",120000
"Data Engineer",90000
"Data Engineer",265000
"Data Engineer",185000
"Data Engineer",167580
"Data Engineer",87980
"Data Engineer",202000
"Data Engineer",135000
"Data Engineer",163800
"Data Engineer",126000
"Data Engineer",104000
"Data Engineer",65000
"Data Engineer",290000
"Data Engineer",210000
"Data Engineer",192000
"Data Engineer",172800
"Data Engineer",115447
"Data Engineer",137500
"Data Engineer",81500
"Data Engineer",144000
"Data Engineer",66000
"Data Engineer",180000
"Data Engineer",160000
"Data Engineer",259000
"Data Engineer",146000
"Data Engineer",200000
"Data Engineer",160000
"Data Engineer",310000
"Data Engineer",239000
"Data Engineer",140000
"Data Engineer",120000
"Data Engineer",259000
"Data Engineer",146000
"Data Engineer",139500
"Data Engineer",109400
"Data Engineer",125000
"Data Engineer",90000
"Data Engineer",120000
"Data Engineer",90000
"Data Engineer",230000
"Data Engineer",170000
"Data Engineer",180000
"Data Engineer",160000
"Data Engineer",180000
"Data Engineer",130000
"Data Engineer",226700
"Data Engineer",133300
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",250000
"Data Engineer",162500
"Data Engineer",167580
"Data Engineer",87980
"Data Engineer",250000
"Data Engineer",63000
"Data Engineer",124740
"Data Engineer",65488
"Data Engineer",213580
"Data Engineer",163625
"Data Engineer",235000
"Data Engineer",210000
"Data Engineer",160000
"Data Engineer",75000
"Data Engineer",250000
"Data Engineer",162500
"Data Engineer",241871
"Data Engineer",133832
"Data Engineer",210914
"Data Engineer",116704
"Data Engineer",128000
"Data Engineer",81500
"Data Engineer",66837
"Data Engineer",63192
"Data Engineer",284000
"Data Engineer",236000
"Data Engineer",66531
"Data Engineer",59020
"Data Engineer",26827
"Data Engineer",226700
"Data Engineer",133300
"Data Engineer",163800
"Data Engineer",126000
"Data Engineer",145000
"Data Engineer",115000
"Data Engineer",162500
"Data Engineer",130000
"Data Engineer",150000
"Data Engineer",107000
"Data Engineer",175000
"Data Engineer",110000
"Data Engineer",226700
"Data Engineer",133300
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",265000
"Data Engineer",182750
"Data Engineer",137500
"Data Engineer",81500
"Data Engineer",200000
"Data Engineer",145000
"Data Engineer",160000
"Data Engineer",135000
"Data Engineer",310000
"Data Engineer",239000
"Data Engineer",240000
"Data Engineer",170000
"Data Engineer",165000
"Data Engineer",107250
"Data Engineer",300000
"Data Engineer",119000
"Data Engineer",153000
"Data Engineer",94000
"Data Engineer",240500
"Data Engineer",123700
"Data Engineer",160000
"Data Engineer",90000
"Data Engineer",170000
"Data Engineer",120000
"Data Engineer",225000
"Data Engineer",140000
"Data Engineer",85000
"Data Engineer",75000
"Data Engineer",220000
"Data Engineer",160000
"Data Engineer",205600
"Data Engineer",107500
"Data Engineer",120000
"Data Engineer",95000
"Data Engineer",185900
"Data Engineer",129300
"Data Engineer",160000
"Data Engineer",130000
"Data Engineer",250000
"Data Engineer",175000
"Data Engineer",130000
"Data Engineer",75000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",226700
"Data Engineer",133300
"Data Engineer",170000
"Data Engineer",150000
"Data Engineer",150000
"Data Engineer",130000
"Data Engineer",205600
"Data Engineer",105700
"Data Engineer",160000
"Data Engineer",135000
"Data Engineer",120000
"Data Engineer",95000
"Data Engineer",250000
"Data Engineer",63000
"Data Engineer",300000
"Data Engineer",130000
"Data Engineer",122000
"Data Engineer",94000
"Data Engineer",252000
"Data Engineer",129000
"Data Engineer",120000
